Time and date,II,PLETH
12:12:26.510 07/10/1995,0.177,0.632
12:12:26.512 07/10/1995,0.171,0.591
12:12:26.514 07/10/1995,0.164,0.591
12:12:26.516 07/10/1995,0.151,0.591
12:12:26.518 07/10/1995,0.137,0.591
12:12:26.520 07/10/1995,0.121,0.552
12:12:26.522 07/10/1995,0.106,0.552
12:12:26.524 07/10/1995,0.094,0.552
12:12:26.526 07/10/1995,0.083,0.552
12:12:26.528 07/10/1995,0.077,0.508
12:12:26.530 07/10/1995,0.071,0.508
12:12:26.532 07/10/1995,0.069,0.508
12:12:26.534 07/10/1995,0.066,0.508
12:12:26.536 07/10/1995,0.062,0.468
12:12:26.538 07/10/1995,0.058,0.468
12:12:26.540 07/10/1995,0.051,0.468
12:12:26.542 07/10/1995,0.043,0.468
12:12:26.544 07/10/1995,0.032,0.428
12:12:26.546 07/10/1995,0.022,0.428
12:12:26.548 07/10/1995,0.008,0.428
12:12:26.550 07/10/1995,-0.005,0.428
12:12:26.552 07/10/1995,-0.020,0.388
12:12:26.554 07/10/1995,-0.035,0.388
12:12:26.556 07/10/1995,-0.048,0.388
12:12:26.558 07/10/1995,-0.062,0.388
12:12:26.560 07/10/1995,-0.072,0.349
12:12:26.562 07/10/1995,-0.083,0.349
12:12:26.564 07/10/1995,-0.091,0.349
12:12:26.566 07/10/1995,-0.098,0.349
12:12:26.568 07/10/1995,-0.103,0.307
12:12:26.570 07/10/1995,-0.108,0.307
12:12:26.572 07/10/1995,-0.111,0.307
12:12:26.574 07/10/1995,-0.113,0.307
12:12:26.576 07/10/1995,-0.114,0.269
12:12:26.578 07/10/1995,-0.116,0.269
12:12:26.580 07/10/1995,-0.117,0.269
12:12:26.582 07/10/1995,-0.118,0.269
12:12:26.584 07/10/1995,-0.119,0.233
12:12:26.586 07/10/1995,-0.120,0.233
12:12:26.588 07/10/1995,-0.120,0.233
12:12:26.590 07/10/1995,-0.120,0.233
12:12:26.592 07/10/1995,-0.121,0.192
12:12:26.594 07/10/1995,-0.122,0.192
12:12:26.596 07/10/1995,-0.123,0.192
12:12:26.598 07/10/1995,-0.123,0.192
12:12:26.600 07/10/1995,-0.124,0.155
12:12:26.602 07/10/1995,-0.124,0.155
12:12:26.604 07/10/1995,-0.125,0.155
12:12:26.606 07/10/1995,-0.126,0.155
12:12:26.608 07/10/1995,-0.127,0.121
12:12:26.610 07/10/1995,-0.127,0.121
12:12:26.612 07/10/1995,-0.126,0.121
12:12:26.614 07/10/1995,-0.125,0.121
12:12:26.616 07/10/1995,-0.124,0.085
12:12:26.618 07/10/1995,-0.123,0.085
12:12:26.620 07/10/1995,-0.121,0.085
12:12:26.622 07/10/1995,-0.120,0.085
12:12:26.624 07/10/1995,-0.117,0.051
12:12:26.626 07/10/1995,-0.114,0.051
12:12:26.628 07/10/1995,-0.112,0.051
12:12:26.630 07/10/1995,-0.109,0.051
12:12:26.632 07/10/1995,-0.106,0.019
12:12:26.634 07/10/1995,-0.103,0.019
12:12:26.636 07/10/1995,-0.100,0.019
12:12:26.638 07/10/1995,-0.097,0.019
12:12:26.640 07/10/1995,-0.096,-0.009
12:12:26.642 07/10/1995,-0.095,-0.009
12:12:26.644 07/10/1995,-0.096,-0.009
12:12:26.646 07/10/1995,-0.096,-0.009
12:12:26.648 07/10/1995,-0.097,-0.034
12:12:26.650 07/10/1995,-0.098,-0.034
12:12:26.652 07/10/1995,-0.096,-0.034
12:12:26.654 07/10/1995,-0.094,-0.034
12:12:26.656 07/10/1995,-0.081,-0.058
12:12:26.658 07/10/1995,-0.068,-0.058
12:12:26.660 07/10/1995,-0.035,-0.058
12:12:26.662 07/10/1995,-0.002,-0.058
12:12:26.664 07/10/1995,0.057,-0.077
12:12:26.666 07/10/1995,0.116,-0.077
12:12:26.668 07/10/1995,0.199,-0.077
12:12:26.670 07/10/1995,0.283,-0.077
12:12:26.672 07/10/1995,0.376,-0.095
12:12:26.674 07/10/1995,0.470,-0.095
12:12:26.676 07/10/1995,0.550,-0.095
12:12:26.678 07/10/1995,0.631,-0.095
12:12:26.680 07/10/1995,0.673,-0.109
12:12:26.682 07/10/1995,0.716,-0.109
12:12:26.684 07/10/1995,0.710,-0.109
12:12:26.686 07/10/1995,0.704,-0.109
12:12:26.688 07/10/1995,0.656,-0.121
12:12:26.690 07/10/1995,0.608,-0.121
12:12:26.692 07/10/1995,0.537,-0.121
12:12:26.694 07/10/1995,0.465,-0.121
12:12:26.696 07/10/1995,0.394,-0.133
12:12:26.698 07/10/1995,0.323,-0.133
12:12:26.700 07/10/1995,0.270,-0.133
12:12:26.702 07/10/1995,0.217,-0.133
12:12:26.704 07/10/1995,0.191,-0.141
12:12:26.706 07/10/1995,0.164,-0.141
12:12:26.708 07/10/1995,0.159,-0.141
12:12:26.710 07/10/1995,0.153,-0.141
12:12:26.712 07/10/1995,0.163,-0.152
12:12:26.714 07/10/1995,0.172,-0.152
12:12:26.716 07/10/1995,0.184,-0.152
12:12:26.718 07/10/1995,0.195,-0.152
12:12:26.720 07/10/1995,0.204,-0.189
12:12:26.722 07/10/1995,0.213,-0.189
12:12:26.724 07/10/1995,0.219,-0.189
12:12:26.726 07/10/1995,0.226,-0.189
12:12:26.728 07/10/1995,0.234,-0.197
12:12:26.730 07/10/1995,0.242,-0.197
12:12:26.732 07/10/1995,0.253,-0.197
12:12:26.734 07/10/1995,0.265,-0.197
12:12:26.736 07/10/1995,0.274,-0.206
12:12:26.738 07/10/1995,0.283,-0.206
12:12:26.740 07/10/1995,0.282,-0.206
12:12:26.742 07/10/1995,0.281,-0.206
12:12:26.744 07/10/1995,0.265,-0.216
12:12:26.746 07/10/1995,0.248,-0.216
12:12:26.748 07/10/1995,0.220,-0.216
12:12:26.750 07/10/1995,0.191,-0.216
12:12:26.752 07/10/1995,0.158,-0.229
12:12:26.754 07/10/1995,0.124,-0.229
12:12:26.756 07/10/1995,0.094,-0.229
12:12:26.758 07/10/1995,0.064,-0.229
12:12:26.760 07/10/1995,0.040,-0.240
12:12:26.762 07/10/1995,0.017,-0.240
12:12:26.764 07/10/1995,0.001,-0.240
12:12:26.766 07/10/1995,-0.015,-0.240
12:12:26.768 07/10/1995,-0.025,-0.253
12:12:26.770 07/10/1995,-0.036,-0.253
12:12:26.772 07/10/1995,-0.043,-0.253
12:12:26.774 07/10/1995,-0.050,-0.253
12:12:26.776 07/10/1995,-0.053,-0.268
12:12:26.778 07/10/1995,-0.056,-0.268
12:12:26.780 07/10/1995,-0.057,-0.268
12:12:26.782 07/10/1995,-0.057,-0.268
12:12:26.784 07/10/1995,-0.056,-0.280
12:12:26.786 07/10/1995,-0.054,-0.280
12:12:26.788 07/10/1995,-0.053,-0.280
12:12:26.790 07/10/1995,-0.053,-0.280
12:12:26.792 07/10/1995,-0.054,-0.294
12:12:26.794 07/10/1995,-0.055,-0.294
12:12:26.796 07/10/1995,-0.056,-0.294
12:12:26.798 07/10/1995,-0.057,-0.294
12:12:26.800 07/10/1995,-0.058,-0.307
12:12:26.802 07/10/1995,-0.059,-0.307
12:12:26.804 07/10/1995,-0.059,-0.307
12:12:26.806 07/10/1995,-0.059,-0.307
12:12:26.808 07/10/1995,-0.059,-0.324
12:12:26.810 07/10/1995,-0.059,-0.324
12:12:26.812 07/10/1995,-0.059,-0.324
12:12:26.814 07/10/1995,-0.058,-0.324
12:12:26.816 07/10/1995,-0.057,-0.339
12:12:26.818 07/10/1995,-0.055,-0.339
12:12:26.820 07/10/1995,-0.053,-0.339
12:12:26.822 07/10/1995,-0.051,-0.339
12:12:26.824 07/10/1995,-0.049,-0.353
12:12:26.826 07/10/1995,-0.046,-0.353
12:12:26.828 07/10/1995,-0.045,-0.353
12:12:26.830 07/10/1995,-0.043,-0.353
12:12:26.832 07/10/1995,-0.041,-0.370
12:12:26.834 07/10/1995,-0.039,-0.370
12:12:26.836 07/10/1995,-0.037,-0.370
12:12:26.838 07/10/1995,-0.035,-0.370
12:12:26.840 07/10/1995,-0.033,-0.386
12:12:26.842 07/10/1995,-0.031,-0.386
12:12:26.844 07/10/1995,-0.029,-0.386
12:12:26.846 07/10/1995,-0.026,-0.386
12:12:26.848 07/10/1995,-0.022,-0.400
12:12:26.850 07/10/1995,-0.017,-0.400
12:12:26.852 07/10/1995,-0.012,-0.400
12:12:26.854 07/10/1995,-0.006,-0.400
12:12:26.856 07/10/1995,-0.002,-0.410
12:12:26.858 07/10/1995,0.002,-0.410
12:12:26.860 07/10/1995,0.006,-0.410
12:12:26.862 07/10/1995,0.010,-0.410
12:12:26.864 07/10/1995,0.013,-0.424
12:12:26.866 07/10/1995,0.017,-0.424
12:12:26.868 07/10/1995,0.021,-0.424
12:12:26.870 07/10/1995,0.024,-0.424
12:12:26.872 07/10/1995,0.027,-0.437
12:12:26.874 07/10/1995,0.030,-0.437
12:12:26.876 07/10/1995,0.033,-0.437
12:12:26.878 07/10/1995,0.037,-0.437
12:12:26.880 07/10/1995,0.040,-0.449
12:12:26.882 07/10/1995,0.044,-0.449
12:12:26.884 07/10/1995,0.046,-0.449
12:12:26.886 07/10/1995,0.049,-0.449
12:12:26.888 07/10/1995,0.050,-0.462
12:12:26.890 07/10/1995,0.051,-0.462
12:12:26.892 07/10/1995,0.051,-0.462
12:12:26.894 07/10/1995,0.052,-0.462
12:12:26.896 07/10/1995,0.053,-0.471
12:12:26.898 07/10/1995,0.054,-0.471
12:12:26.900 07/10/1995,0.055,-0.471
12:12:26.902 07/10/1995,0.056,-0.471
12:12:26.904 07/10/1995,0.056,-0.483
12:12:26.906 07/10/1995,0.055,-0.483
12:12:26.908 07/10/1995,0.055,-0.483
12:12:26.910 07/10/1995,0.054,-0.483
12:12:26.912 07/10/1995,0.052,-0.493
12:12:26.914 07/10/1995,0.051,-0.493
12:12:26.916 07/10/1995,0.048,-0.493
12:12:26.918 07/10/1995,0.045,-0.493
12:12:26.920 07/10/1995,0.040,-0.498
12:12:26.922 07/10/1995,0.036,-0.498
12:12:26.924 07/10/1995,0.029,-0.498
12:12:26.926 07/10/1995,0.022,-0.498
12:12:26.928 07/10/1995,0.013,-0.503
12:12:26.930 07/10/1995,0.005,-0.503
12:12:26.932 07/10/1995,-0.003,-0.503
12:12:26.934 07/10/1995,-0.012,-0.503
12:12:26.936 07/10/1995,-0.022,-0.500
12:12:26.938 07/10/1995,-0.032,-0.500
12:12:26.940 07/10/1995,-0.043,-0.500
12:12:26.942 07/10/1995,-0.053,-0.500
12:12:26.944 07/10/1995,-0.063,-0.483
12:12:26.946 07/10/1995,-0.072,-0.483
12:12:26.948 07/10/1995,-0.082,-0.483
12:12:26.950 07/10/1995,-0.092,-0.483
12:12:26.952 07/10/1995,-0.101,-0.454
12:12:26.954 07/10/1995,-0.110,-0.454
12:12:26.956 07/10/1995,-0.118,-0.454
12:12:26.958 07/10/1995,-0.126,-0.454
12:12:26.960 07/10/1995,-0.133,-0.412
12:12:26.962 07/10/1995,-0.140,-0.412
12:12:26.964 07/10/1995,-0.144,-0.412
12:12:26.966 07/10/1995,-0.148,-0.412
12:12:26.968 07/10/1995,-0.150,-0.351
12:12:26.970 07/10/1995,-0.151,-0.351
12:12:26.972 07/10/1995,-0.151,-0.351
12:12:26.974 07/10/1995,-0.150,-0.351
12:12:26.976 07/10/1995,-0.147,-0.273
12:12:26.978 07/10/1995,-0.144,-0.273
12:12:26.980 07/10/1995,-0.139,-0.273
12:12:26.982 07/10/1995,-0.134,-0.273
12:12:26.984 07/10/1995,-0.129,-0.181
12:12:26.986 07/10/1995,-0.123,-0.181
12:12:26.988 07/10/1995,-0.118,-0.181
12:12:26.990 07/10/1995,-0.113,-0.181
12:12:26.992 07/10/1995,-0.109,-0.079
12:12:26.994 07/10/1995,-0.104,-0.079
12:12:26.996 07/10/1995,-0.098,-0.079
12:12:26.998 07/10/1995,-0.093,-0.079
12:12:27.000 07/10/1995,-0.086,0.034
12:12:27.002 07/10/1995,-0.080,0.034
12:12:27.004 07/10/1995,-0.075,0.034
12:12:27.006 07/10/1995,-0.070,0.034
12:12:27.008 07/10/1995,-0.066,0.144
12:12:27.010 07/10/1995,-0.062,0.144
12:12:27.012 07/10/1995,-0.058,0.144
12:12:27.014 07/10/1995,-0.055,0.144
12:12:27.016 07/10/1995,-0.052,0.247
12:12:27.018 07/10/1995,-0.049,0.247
12:12:27.020 07/10/1995,-0.045,0.247
12:12:27.022 07/10/1995,-0.042,0.247
12:12:27.024 07/10/1995,-0.038,0.346
12:12:27.026 07/10/1995,-0.035,0.346
12:12:27.028 07/10/1995,-0.031,0.346
12:12:27.030 07/10/1995,-0.028,0.346
12:12:27.032 07/10/1995,-0.025,0.424
12:12:27.034 07/10/1995,-0.023,0.424
12:12:27.036 07/10/1995,-0.021,0.424
12:12:27.038 07/10/1995,-0.019,0.424
12:12:27.040 07/10/1995,-0.018,0.490
12:12:27.042 07/10/1995,-0.016,0.490
12:12:27.044 07/10/1995,-0.016,0.490
12:12:27.046 07/10/1995,-0.015,0.490
12:12:27.048 07/10/1995,-0.015,0.534
12:12:27.050 07/10/1995,-0.015,0.534
12:12:27.052 07/10/1995,-0.014,0.534
12:12:27.054 07/10/1995,-0.013,0.534
12:12:27.056 07/10/1995,-0.012,0.564
12:12:27.058 07/10/1995,-0.012,0.564
12:12:27.060 07/10/1995,-0.012,0.564
12:12:27.062 07/10/1995,-0.012,0.564
12:12:27.064 07/10/1995,-0.011,0.577
12:12:27.066 07/10/1995,-0.011,0.577
12:12:27.068 07/10/1995,-0.009,0.577
12:12:27.070 07/10/1995,-0.006,0.577
12:12:27.072 07/10/1995,-0.002,0.577
12:12:27.074 07/10/1995,0.002,0.577
12:12:27.076 07/10/1995,0.009,0.577
12:12:27.078 07/10/1995,0.015,0.577
12:12:27.080 07/10/1995,0.023,0.561
12:12:27.082 07/10/1995,0.031,0.561
12:12:27.084 07/10/1995,0.040,0.561
12:12:27.086 07/10/1995,0.050,0.561
12:12:27.088 07/10/1995,0.059,0.539
12:12:27.090 07/10/1995,0.068,0.539
12:12:27.092 07/10/1995,0.076,0.539
12:12:27.094 07/10/1995,0.084,0.539
12:12:27.096 07/10/1995,0.091,0.512
12:12:27.098 07/10/1995,0.097,0.512
12:12:27.100 07/10/1995,0.102,0.512
12:12:27.102 07/10/1995,0.107,0.512
12:12:27.104 07/10/1995,0.114,0.476
12:12:27.106 07/10/1995,0.121,0.476
12:12:27.108 07/10/1995,0.129,0.476
12:12:27.110 07/10/1995,0.137,0.476
12:12:27.112 07/10/1995,0.143,0.442
12:12:27.114 07/10/1995,0.149,0.442
12:12:27.116 07/10/1995,0.148,0.442
12:12:27.118 07/10/1995,0.147,0.442
12:12:27.120 07/10/1995,0.136,0.398
12:12:27.122 07/10/1995,0.125,0.398
12:12:27.124 07/10/1995,0.111,0.398
12:12:27.126 07/10/1995,0.096,0.398
12:12:27.128 07/10/1995,0.082,0.355
12:12:27.130 07/10/1995,0.068,0.355
12:12:27.132 07/10/1995,0.060,0.355
12:12:27.134 07/10/1995,0.052,0.355
12:12:27.136 07/10/1995,0.050,0.319
12:12:27.138 07/10/1995,0.049,0.319
12:12:27.140 07/10/1995,0.047,0.319
12:12:27.142 07/10/1995,0.045,0.319
12:12:27.144 07/10/1995,0.040,0.275
12:12:27.146 07/10/1995,0.035,0.275
12:12:27.148 07/10/1995,0.024,0.275
12:12:27.150 07/10/1995,0.014,0.275
12:12:27.152 07/10/1995,0.000,0.233
12:12:27.154 07/10/1995,-0.014,0.233
12:12:27.156 07/10/1995,-0.030,0.233
12:12:27.158 07/10/1995,-0.045,0.233
12:12:27.160 07/10/1995,-0.059,0.196
12:12:27.162 07/10/1995,-0.073,0.196
12:12:27.164 07/10/1995,-0.084,0.196
12:12:27.166 07/10/1995,-0.095,0.196
12:12:27.168 07/10/1995,-0.103,0.160
12:12:27.170 07/10/1995,-0.110,0.160
12:12:27.172 07/10/1995,-0.116,0.160
12:12:27.174 07/10/1995,-0.121,0.160
12:12:27.176 07/10/1995,-0.124,0.120
12:12:27.178 07/10/1995,-0.127,0.120
12:12:27.180 07/10/1995,-0.127,0.120
12:12:27.182 07/10/1995,-0.127,0.120
12:12:27.184 07/10/1995,-0.127,0.084
12:12:27.186 07/10/1995,-0.126,0.084
12:12:27.188 07/10/1995,-0.126,0.084
12:12:27.190 07/10/1995,-0.126,0.084
12:12:27.192 07/10/1995,-0.127,0.046
12:12:27.194 07/10/1995,-0.127,0.046
12:12:27.196 07/10/1995,-0.130,0.046
12:12:27.198 07/10/1995,-0.132,0.046
12:12:27.200 07/10/1995,-0.135,0.012
12:12:27.202 07/10/1995,-0.138,0.012
12:12:27.204 07/10/1995,-0.139,0.012
12:12:27.206 07/10/1995,-0.140,0.012
12:12:27.208 07/10/1995,-0.141,-0.025
12:12:27.210 07/10/1995,-0.141,-0.025
12:12:27.212 07/10/1995,-0.142,-0.025
12:12:27.214 07/10/1995,-0.143,-0.025
12:12:27.216 07/10/1995,-0.142,-0.057
12:12:27.218 07/10/1995,-0.141,-0.057
12:12:27.220 07/10/1995,-0.140,-0.057
12:12:27.222 07/10/1995,-0.138,-0.057
12:12:27.224 07/10/1995,-0.136,-0.088
12:12:27.226 07/10/1995,-0.134,-0.088
12:12:27.228 07/10/1995,-0.132,-0.088
12:12:27.230 07/10/1995,-0.130,-0.088
12:12:27.232 07/10/1995,-0.127,-0.151
12:12:27.234 07/10/1995,-0.125,-0.151
12:12:27.236 07/10/1995,-0.124,-0.151
12:12:27.238 07/10/1995,-0.123,-0.151
12:12:27.240 07/10/1995,-0.122,-0.174
12:12:27.242 07/10/1995,-0.121,-0.174
12:12:27.244 07/10/1995,-0.121,-0.174
12:12:27.246 07/10/1995,-0.121,-0.174
12:12:27.248 07/10/1995,-0.121,-0.199
12:12:27.250 07/10/1995,-0.121,-0.199
12:12:27.252 07/10/1995,-0.120,-0.199
12:12:27.254 07/10/1995,-0.120,-0.199
12:12:27.256 07/10/1995,-0.118,-0.220
12:12:27.258 07/10/1995,-0.116,-0.220
12:12:27.260 07/10/1995,-0.110,-0.220
12:12:27.262 07/10/1995,-0.104,-0.220
12:12:27.264 07/10/1995,-0.085,-0.238
12:12:27.266 07/10/1995,-0.066,-0.238
12:12:27.268 07/10/1995,-0.026,-0.238
12:12:27.270 07/10/1995,0.014,-0.238
12:12:27.272 07/10/1995,0.079,-0.254
12:12:27.274 07/10/1995,0.145,-0.254
12:12:27.276 07/10/1995,0.232,-0.254
12:12:27.278 07/10/1995,0.319,-0.254
12:12:27.280 07/10/1995,0.410,-0.268
12:12:27.282 07/10/1995,0.501,-0.268
12:12:27.284 07/10/1995,0.571,-0.268
12:12:27.286 07/10/1995,0.641,-0.268
12:12:27.288 07/10/1995,0.668,-0.277
12:12:27.290 07/10/1995,0.695,-0.277
12:12:27.292 07/10/1995,0.673,-0.277
12:12:27.294 07/10/1995,0.651,-0.277
12:12:27.296 07/10/1995,0.593,-0.286
12:12:27.298 07/10/1995,0.535,-0.286
12:12:27.300 07/10/1995,0.461,-0.286
12:12:27.302 07/10/1995,0.387,-0.286
12:12:27.304 07/10/1995,0.321,-0.297
12:12:27.306 07/10/1995,0.256,-0.297
12:12:27.308 07/10/1995,0.214,-0.297
12:12:27.310 07/10/1995,0.172,-0.297
12:12:27.312 07/10/1995,0.154,-0.302
12:12:27.314 07/10/1995,0.137,-0.302
12:12:27.316 07/10/1995,0.140,-0.302
12:12:27.318 07/10/1995,0.143,-0.302
12:12:27.320 07/10/1995,0.153,-0.309
12:12:27.322 07/10/1995,0.164,-0.309
12:12:27.324 07/10/1995,0.174,-0.309
12:12:27.326 07/10/1995,0.185,-0.309
12:12:27.328 07/10/1995,0.191,-0.316
12:12:27.330 07/10/1995,0.197,-0.316
12:12:27.332 07/10/1995,0.201,-0.316
12:12:27.334 07/10/1995,0.206,-0.316
12:12:27.336 07/10/1995,0.217,-0.323
12:12:27.338 07/10/1995,0.227,-0.323
12:12:27.340 07/10/1995,0.241,-0.323
12:12:27.342 07/10/1995,0.255,-0.323
12:12:27.344 07/10/1995,0.263,-0.332
12:12:27.346 07/10/1995,0.271,-0.332
12:12:27.348 07/10/1995,0.267,-0.332
12:12:27.350 07/10/1995,0.262,-0.332
12:12:27.352 07/10/1995,0.243,-0.339
12:12:27.354 07/10/1995,0.224,-0.339
12:12:27.356 07/10/1995,0.194,-0.339
12:12:27.358 07/10/1995,0.164,-0.339
12:12:27.360 07/10/1995,0.131,-0.350
12:12:27.362 07/10/1995,0.098,-0.350
12:12:27.364 07/10/1995,0.070,-0.350
12:12:27.366 07/10/1995,0.041,-0.350
12:12:27.368 07/10/1995,0.020,-0.357
12:12:27.370 07/10/1995,-0.001,-0.357
12:12:27.372 07/10/1995,-0.015,-0.357
12:12:27.374 07/10/1995,-0.029,-0.357
12:12:27.376 07/10/1995,-0.038,-0.366
12:12:27.378 07/10/1995,-0.048,-0.366
12:12:27.380 07/10/1995,-0.052,-0.366
12:12:27.382 07/10/1995,-0.057,-0.366
12:12:27.384 07/10/1995,-0.058,-0.376
12:12:27.386 07/10/1995,-0.059,-0.376
12:12:27.388 07/10/1995,-0.058,-0.376
12:12:27.390 07/10/1995,-0.057,-0.376
12:12:27.392 07/10/1995,-0.058,-0.387
12:12:27.394 07/10/1995,-0.058,-0.387
12:12:27.396 07/10/1995,-0.060,-0.387
12:12:27.398 07/10/1995,-0.062,-0.387
12:12:27.400 07/10/1995,-0.064,-0.396
12:12:27.402 07/10/1995,-0.067,-0.396
12:12:27.404 07/10/1995,-0.068,-0.396
12:12:27.406 07/10/1995,-0.069,-0.396
12:12:27.408 07/10/1995,-0.070,-0.409
12:12:27.410 07/10/1995,-0.070,-0.409
12:12:27.412 07/10/1995,-0.069,-0.409
12:12:27.414 07/10/1995,-0.068,-0.409
12:12:27.416 07/10/1995,-0.067,-0.419
12:12:27.418 07/10/1995,-0.067,-0.419
12:12:27.420 07/10/1995,-0.067,-0.419
12:12:27.422 07/10/1995,-0.067,-0.419
12:12:27.424 07/10/1995,-0.066,-0.432
12:12:27.426 07/10/1995,-0.065,-0.432
12:12:27.428 07/10/1995,-0.064,-0.432
12:12:27.430 07/10/1995,-0.063,-0.432
12:12:27.432 07/10/1995,-0.060,-0.442
12:12:27.434 07/10/1995,-0.058,-0.442
12:12:27.436 07/10/1995,-0.056,-0.442
12:12:27.438 07/10/1995,-0.054,-0.442
12:12:27.440 07/10/1995,-0.051,-0.453
12:12:27.442 07/10/1995,-0.048,-0.453
12:12:27.444 07/10/1995,-0.045,-0.453
12:12:27.446 07/10/1995,-0.042,-0.453
12:12:27.448 07/10/1995,-0.040,-0.465
12:12:27.450 07/10/1995,-0.039,-0.465
12:12:27.452 07/10/1995,-0.037,-0.465
12:12:27.454 07/10/1995,-0.035,-0.465
12:12:27.456 07/10/1995,-0.031,-0.476
12:12:27.458 07/10/1995,-0.027,-0.476
12:12:27.460 07/10/1995,-0.023,-0.476
12:12:27.462 07/10/1995,-0.018,-0.476
12:12:27.464 07/10/1995,-0.014,-0.485
12:12:27.466 07/10/1995,-0.010,-0.485
12:12:27.468 07/10/1995,-0.006,-0.485
12:12:27.470 07/10/1995,-0.002,-0.485
12:12:27.472 07/10/1995,0.002,-0.499
12:12:27.474 07/10/1995,0.005,-0.499
12:12:27.476 07/10/1995,0.009,-0.499
12:12:27.478 07/10/1995,0.013,-0.499
12:12:27.480 07/10/1995,0.017,-0.508
12:12:27.482 07/10/1995,0.022,-0.508
12:12:27.484 07/10/1995,0.028,-0.508
12:12:27.486 07/10/1995,0.033,-0.508
12:12:27.488 07/10/1995,0.039,-0.522
12:12:27.490 07/10/1995,0.045,-0.522
12:12:27.492 07/10/1995,0.049,-0.522
12:12:27.494 07/10/1995,0.053,-0.522
12:12:27.496 07/10/1995,0.054,-0.531
12:12:27.498 07/10/1995,0.055,-0.531
12:12:27.500 07/10/1995,0.055,-0.531
12:12:27.502 07/10/1995,0.054,-0.531
12:12:27.504 07/10/1995,0.053,-0.540
12:12:27.506 07/10/1995,0.052,-0.540
12:12:27.508 07/10/1995,0.051,-0.540
12:12:27.510 07/10/1995,0.051,-0.540
12:12:27.512 07/10/1995,0.051,-0.551
12:12:27.514 07/10/1995,0.051,-0.551
12:12:27.516 07/10/1995,0.051,-0.551
12:12:27.518 07/10/1995,0.051,-0.551
12:12:27.520 07/10/1995,0.050,-0.556
12:12:27.522 07/10/1995,0.050,-0.556
12:12:27.524 07/10/1995,0.048,-0.556
12:12:27.526 07/10/1995,0.045,-0.556
12:12:27.528 07/10/1995,0.040,-0.563
12:12:27.530 07/10/1995,0.035,-0.563
12:12:27.532 07/10/1995,0.026,-0.563
12:12:27.534 07/10/1995,0.018,-0.563
12:12:27.536 07/10/1995,0.010,-0.560
12:12:27.538 07/10/1995,0.001,-0.560
12:12:27.540 07/10/1995,-0.009,-0.560
12:12:27.542 07/10/1995,-0.018,-0.560
12:12:27.544 07/10/1995,-0.029,-0.556
12:12:27.546 07/10/1995,-0.039,-0.556
12:12:27.548 07/10/1995,-0.049,-0.556
12:12:27.550 07/10/1995,-0.059,-0.556
12:12:27.552 07/10/1995,-0.070,-0.538
12:12:27.554 07/10/1995,-0.080,-0.538
12:12:27.556 07/10/1995,-0.090,-0.538
12:12:27.558 07/10/1995,-0.099,-0.538
12:12:27.560 07/10/1995,-0.107,-0.510
12:12:27.562 07/10/1995,-0.114,-0.510
12:12:27.564 07/10/1995,-0.119,-0.510
12:12:27.566 07/10/1995,-0.123,-0.510
12:12:27.568 07/10/1995,-0.126,-0.467
12:12:27.570 07/10/1995,-0.129,-0.467
12:12:27.572 07/10/1995,-0.130,-0.467
12:12:27.574 07/10/1995,-0.131,-0.467
12:12:27.576 07/10/1995,-0.131,-0.409
12:12:27.578 07/10/1995,-0.131,-0.409
12:12:27.580 07/10/1995,-0.129,-0.409
12:12:27.582 07/10/1995,-0.126,-0.409
12:12:27.584 07/10/1995,-0.124,-0.339
12:12:27.586 07/10/1995,-0.122,-0.339
12:12:27.588 07/10/1995,-0.119,-0.339
12:12:27.590 07/10/1995,-0.117,-0.339
12:12:27.592 07/10/1995,-0.113,-0.252
12:12:27.594 07/10/1995,-0.109,-0.252
12:12:27.596 07/10/1995,-0.105,-0.252
12:12:27.598 07/10/1995,-0.102,-0.252
12:12:27.600 07/10/1995,-0.097,-0.160
12:12:27.602 07/10/1995,-0.092,-0.160
12:12:27.604 07/10/1995,-0.086,-0.160
12:12:27.606 07/10/1995,-0.081,-0.160
12:12:27.608 07/10/1995,-0.076,-0.061
12:12:27.610 07/10/1995,-0.070,-0.061
12:12:27.612 07/10/1995,-0.066,-0.061
12:12:27.614 07/10/1995,-0.062,-0.061
12:12:27.616 07/10/1995,-0.057,0.039
12:12:27.618 07/10/1995,-0.053,0.039
12:12:27.620 07/10/1995,-0.048,0.039
12:12:27.622 07/10/1995,-0.042,0.039
12:12:27.624 07/10/1995,-0.038,0.133
12:12:27.626 07/10/1995,-0.033,0.133
12:12:27.628 07/10/1995,-0.030,0.133
12:12:27.630 07/10/1995,-0.027,0.133
12:12:27.632 07/10/1995,-0.025,0.217
12:12:27.634 07/10/1995,-0.023,0.217
12:12:27.636 07/10/1995,-0.022,0.217
12:12:27.638 07/10/1995,-0.021,0.217
12:12:27.640 07/10/1995,-0.019,0.288
12:12:27.642 07/10/1995,-0.018,0.288
12:12:27.644 07/10/1995,-0.018,0.288
12:12:27.646 07/10/1995,-0.017,0.288
12:12:27.648 07/10/1995,-0.017,0.344
12:12:27.650 07/10/1995,-0.016,0.344
12:12:27.652 07/10/1995,-0.016,0.344
12:12:27.654 07/10/1995,-0.016,0.344
12:12:27.656 07/10/1995,-0.018,0.380
12:12:27.658 07/10/1995,-0.019,0.380
12:12:27.660 07/10/1995,-0.020,0.380
